INDICADORA_GEOG1;INDICADORA_A00;INDICADORA_A01;INDICADORA_B00;INDICADORA_C00;INDICADORA_C01;INDICADORA_D00;V916
76;1;;2;7;;2;15,0847443222771
76;1;;2;7;;10;6809,2917395186984
76;1;;2;7;;11;25,9043712163653
76;1;;2;8;;10;10342,6846882842509
76;1;;2;;2;1;419,6593746880643
76;1;;2;;2;2;14975,691394087118
76;1;;2;;2;3;21677,5247972620905
76;1;;2;;2;4;4058,5581808351978
76;1;;2;;2;5;2338,0233561355697
76;1;;2;;2;6;367,1357779666754
76;1;;2;;2;7;242,526217100778
76;1;;2;;2;8;80,1294306304608
76;1;;2;;2;9;28,277733504442
76;1;;2;;2;11;5729,8053297307239
76;1;;2;;3;2;1313,2148063025129
76;1;;2;;3;3;4483,7459410931866
76;1;;2;;3;4;3697,5012833501136
76;1;;2;;3;5;2117,0573986361284
76;1;;2;;3;6;200,4756787171284
76;1;;2;;3;7;263,4404205648033
76;1;;2;;3;8;80,7711114901727
76;1;;2;;3;9;77,2271541623127
76;1;;2;;3;11;2828,8980489658098
76;1;;2;;4;1;7391,5519880815533
76;1;;2;;4;2;13096,1874379799784
76;1;;2;;4;3;4910,3351268877693
76;1;;2;;4;4;634,0113346822239
76;1;;2;;4;5;291,4804096357587
76;1;;2;;4;6;28,1149681551177
76;1;;2;;4;9;12,63044564016
76;1;;2;;4;10;1720,2802726596914
76;1;;2;;4;11;838,1728263002816
76;2;;1;1;;1;3069,6223445270817
76;2;;1;1;;2;15355,3954882116396
76;2;;1;1;;3;31215,892014461424
76;2;;1;1;;4;7678,7161046317829
76;2;;1;1;;5;4405,3025816714273
76;2;;1;1;;6;514,5422872116451
76;2;;1;1;;7;335,406240476679
76;2;;1;1;;8;146,6530042411356
76;2;;1;1;;9;97,1538054264077
76;2;;1;1;;10;848,0964001543242
76;2;;1;1;;11;11082,0290733665857
76;2;;1;5;;1;4883,1993865115589
76;2;;1;5;;2;12133,222054775175
76;2;;1;5;;3;11527,4749544858354
76;2;;1;5;;4;3816,875709377586
76;2;;1;5;;5;2502,5305320883067
76;2;;1;5;;6;278,1148013550022
76;2;;1;5;;7;170,2957685162259
76;2;;1;5;;8;117,3838918163523
76;2;;1;5;;9;140,4694335740816
76;2;;1;5;;11;4733,2747494538039
76;2;;1;6;;2;84,1034591720271
