INDICADORA_GEOG1;INDICADORA_A00;INDICADORA_A01;INDICADORA_B00;INDICADORA_B01;INDICADORA_C00;INDICADORA_C01;INDICADORA_C02;INDICADORA_C03;INDICADORA_C04;INDICADORA_C05;INDICADORA_C06;INDICADORA_C07;INDICADORA_C08;INDICADORA_C09;INDICADORA_C10;V884;V878;V1883
76;9999;;;5;9999;;;;;;;;;;;120777,9021689155546;1824,346848777441892287515234326399389996;410878,0829169045212
76;9999;;;5;;1;;;;;;;;;;81478,2043912956512;1831,415454246209004585887072563130277292;278806,3582951503584
76;9999;;;5;;;2;;;;;;;;;111079,544221554046;1882,056424857785141213423844857380740229;379502,8779434176248
76;9999;;;5;;;;3;;;;;;;;34451,4452276207889;2456,808549609854649729208670762702434928;116658,9565475769405
76;9999;;;5;;;;;4;;;;;;;115750,6117029423065;1854,799161267897013831564212587852775141;393440,1477003640037
76;9999;;;5;;;;;;5;;;;;;101345,4167201422441;1958,078580431032472815089433812864814643;346904,0492230987933
76;9999;;;5;;;;;;;6;;;;;20398,2300772774205;2926,403634219671940147660954365078359157;70227,5488061563555
76;9999;;;5;;;;;;;;7;;;;31788,6183326133214;2974,359928375589417804482631530528823808;108115,732996166315
76;9999;;;5;;;;;;;;;9;;;55953,3291767661408;1872,742551866663684317800364507944626871;196945,562696458704
76;9999;;;5;;;;;;;;;;10;;29414,3550252650127;3175,905563784172006086559919713982724731;99506,3157601388834
76;9999;;;5;;;;;;;;;;;8;23799,6434745906625;3238,143616647450404295580555114527496319;80370,5715768848947
76;9999;;;6;9999;;;;;;;;;;;85039,0982232284426;2202,797588413491735137176962264537299691;309014,3005061570097
76;9999;;;6;;1;;;;;;;;;;61638,052000819209;2265,903082261232302855448094732294447296;224252,9475324148256
76;9999;;;6;;;2;;;;;;;;;79093,4077054653246;2266,400371238083811082568491867226575322;288883,1222873366992
76;9999;;;6;;;;3;;;;;;;;28026,0953622149377;2980,486295383653429694938783467922253916;101217,2018807613992
76;9999;;;6;;;;;4;;;;;;;82194,9948970004016;2237,896863759433221590209185308786203574;298204,5956557669587
76;9999;;;6;;;;;;5;;;;;;73247,0969242447793;2355,476596078925529947538509820262763904;269270,0102187201143
76;9999;;;6;;;;;;;6;;;;;19289,8717838212363;3361,931230921357766987688357537631263358;69388,3725028444066
76;9999;;;6;;;;;;;;7;;;;27680,6602999807276;3477,5699397231296747428499761742863519;102978,2312442651594
76;9999;;;6;;;;;;;;;9;;;43172,6385777821526;2264,369054579722965733545783021548960134;162529,4001815146404
76;9999;;;6;;;;;;;;;;10;;27032,8963231672992;3509,105959705757296431221716742012370561;97409,2284688545066
76;9999;;;6;;;;;;;;;;;8;21275,7162806649806;3775,93779709770610962590299839236722744;78608,1991278174054
76;9999;;;7;9999;;;;;;;;;;;45272,5746945101622;3072,849884995032511640460826157358835897;168808,2893497173113
76;9999;;;7;;1;;;;;;;;;;33417,3023085573666;3115,784982864413999766656547552146525793;125350,2060525465938
76;9999;;;7;;;2;;;;;;;;;42840,1414270200547;3148,447774022886323771759830834851984302;160399,1961900122916
76;9999;;;7;;;;3;;;;;;;;18517,8159052335397;4333,65686654098118459424652199253057892;67937,9040089304242
76;9999;;;7;;;;;4;;;;;;;44215,7413823398666;3114,475997181241924278097853187279288402;164844,6203719761812
76;9999;;;7;;;;;;5;;;;;;40563,0191278744096;3256,876528696698685019283159965553878132;152682,1288894068857
76;9999;;;7;;;;;;;6;;;;;14882,7460325966427;4724,181008049395320493142648999925233584;55829,5736643422488
76;9999;;;7;;;;;;;;7;;;;20458,8829497148202;4529,858557718651126835763698653977475561;78455,9226387625503
76;9999;;;7;;;;;;;;;9;;;23072,2512891417503;2895,194440867085728135541820637244382531;89040,1158928236896
76;9999;;;7;;;;;;;;;;10;;20065,4342059885397;4634,986232885161039276875831343693015725;74175,4509406691947
76;9999;;;7;;;;;;;;;;;8;16723,9169376172231;4856,453164366141514314621150135890271217;63419,5259579527767
76;9999;;;8;9999;;;;;;;;;;;23303,9241507414037;4373,12679977540841432396067220331570462;88654,4123377016077
76;9999;;;8;;1;;;;;;;;;;18041,3912921321556;4371,83120114808550031827301891070466331;68801,1741254077273
76;9999;;;8;;;2;;;;;;;;;22175,5683326043838;4479,502840251632239794535226287090930586;84758,8342386654583
76;9999;;;8;;;;3;;;;;;;;11642,5756211200013;5707,627779267532832928617059678352004207;43619,2149621849638
76;9999;;;8;;;;;4;;;;;;;23048,0320841573275;4404,214251187937446980700314236431009617;87733,3340995337845
76;9999;;;8;;;;;;5;;;;;;21479,5341328450668;4584,639150922142455774538863995622012717;82467,4106991847079
76;9999;;;8;;;;;;;6;;;;;9741,1572475293823;6243,502477184768304641271933460033056064;36583,2534909085922
76;9999;;;8;;;;;;;;7;;;;12815,9945235455757;5707,259711848564261572478299895541555765;49579,8129260097225
76;9999;;;8;;;;;;;;;9;;;12136,1716323446887;4158,36934503101934614609333681694697688;48031,0241164027777
76;9999;;;8;;;;;;;;;;10;;13282,3539161463421;6004,120136451471692141545634484014355532;50000,8104153040667
76;9999;;;8;;;;;;;;;;;8;10522,2427513386493;5941,436489828654506920248967300185463227;40316,5863315997642
76;9999;;;9;9999;;;;;;;;;;;10318,122431658327;5418,666671653659442873716889699433203125;40235,4110702525295
76;9999;;;9;;1;;;;;;;;;;8362,6294765995128;5167,139800108014214253799625831097227926;32681,0530728927719
76;9999;;;9;;;2;;;;;;;;;10011,089116724031;5511,873726645853250940422077536159579501;39156,4441101943903
76;9999;;;9;;;;3;;;;;;;;6036,7293017274741;7012,288615445061633291026658357209041207;23012,8581859798617
76;9999;;;9;;;;;4;;;;;;;10173,5282310461299;5453,092169548510682323966331074062133356;39628,0336686600214
76;9999;;;9;;;;;;5;;;;;;9709,3493694855643;5496,779316931496492174446932070722894341;38161,1858781599148
76;9999;;;9;;;;;;;6;;;;;5041,4580431371711;7467,863855855929269952668877248136102791;19545,6679567423178
76;9999;;;9;;;;;;;;7;;;;6351,335028178496;7066,658570389346966711418631816800236332;24911,1803203823772
76;9999;;;9;;;;;;;;;9;;;5173,7455594338145;4743,018689280900494901773114477668256594;21114,0868487002012
76;9999;;;9;;;;;;;;;;10;;6525,2299686652712;7269,906483954088303946820059281523590737;24812,0856250106621
76;9999;;;9;;;;;;;;;;;8;5429,5942128739539;7587,553262566657012548426168449170656222;20885,4683218708401
76;9999;;;10;9999;;;;;;;;;;;11206,5383636600465;9468,998382761248821368334736661866139032;45655,8026563421887
76;9999;;;10;;1;;;;;;;;;;8915,801711758325;9784,759654546208532493264465176601685466;36333,7926017534925
76;9999;;;10;;;2;;;;;;;;;10953,5686620861429;9613,462626738139810255672371494294526792;44704,1496707958122
76;9999;;;10;;;;3;;;;;;;;7974,5040617038084;11283,2819378577019177929629730188187058;32149,6515274257815
76;9999;;;10;;;;;4;;;;;;;11163,6798621475136;9497,699089832261163692811004006868945332;45499,9908551655069
76;9999;;;10;;;;;;5;;;;;;10805,4550408095103;9723,443919465132613982039636353492698385;44270,7073920591051
76;9999;;;10;;;;;;;6;;;;;7206,872617531563;11703,7555102717536967940300407381371383;28542,8477432177293
76;9999;;;10;;;;;;;;7;;;;8390,6469505504359;10612,9689019592835729285487316541019097;34286,2653689275682
76;9999;;;10;;;;;;;;;9;;;4812,1833334558135;6970,552957663097808711900870333839787779;21274,4019636585859
76;9999;;;10;;;;;;;;;;10;;8748,0459388720182;11184,2410649256763285754739933754799864;35116,587969796407
76;9999;;;10;;;;;;;;;;;8;7621,6350487782628;11182,807840583235101317558890414915722;31368,3045102325241
76;;1;9999;;9999;;;;;;;;;;;325313,5329849928247;2628,250687372717548437641752477570402514;1103867,3426099811819
76;;1;9999;;;1;;;;;;;;;;217000,1504344877044;2812,210281110654491086540943802382457296;750010,3017210596082
76;;1;9999;;;;2;;;;;;;;;305666,862026469402;2711,300304592767367791120236806876979755;1050196,2444712146954
76;;1;9999;;;;;3;;;;;;;;112551,6735145884943;4076,627193095194112323934137993680983111;394765,5812954791376
76;;1;9999;;;;;;4;;;;;;;316097,3542933301647;2668,542431244346545219917917904385493276;1079641,2840388127503
76;;1;9999;;;;;;;5;;;;;;291909,9956507565596;2788,417213214668776828975967531483126428;1005426,2293172217068
76;;1;9999;;;;;;;;6;;;;;85892,3361102967365;4649,000877990932968820005279037901144164;309907,6196635116851
76;;1;9999;;;;;;;;;7;;;;119918,7881974632096;4332,551203224644608391304003236907454331;427406,8861378956644
76;;1;9999;;;;;;;;;;9;;;131746,7184251668797;2767,666890250983495899207122505597156661;467372,4171375971364
