INDICADORA_GEOG1;INDICADORA_A00;INDICADORA_A01;INDICADORA_B00;INDICADORA_B01;INDICADORA_C00;INDICADORA_C01;INDICADORA_D00;INDICADORA_D01;INDICADORA_E00;INDICADORA_E01;INDICADORA_E02;V884;V878;V1883
76;9999;;9999;;9999;;9999;;9999;;;432960,9445066899221;2311,503337320410949116073050349755986906;1475168,0413446506616
76;9999;;9999;;9999;;9999;;;1;;366856,6997378917241;2438,877269578842939901356693483945963097;1237957,2471064379571
76;9999;;9999;;9999;;9999;;;6;;14568,4032077545302;2095,693991211279540848622189413814796381;51999,3429251457336
76;9999;;9999;;9999;;9999;;;11;;51535,8415610436678;1465,800976969475494945782289133458448156;185211,4513130669709
76;9999;;9999;;9999;;9999;;;;2;161798,5217324687092;2835,46689947522473138092519168019460047;536698,0789767989034
76;9999;;9999;;9999;;9999;;;;3;192837,6811014370857;2102,741529504680596810250148933452010368;659827,4652705836095
76;9999;;9999;;9999;;9999;;;;4;10854,5525271160002;2580,292997164155768599226245930656965867;36672,9125257113388
76;9999;;9999;;9999;;9999;;;;5;1365,944376869929;1792,450036792793749855361406006532221656;4758,7903333441054
76;9999;;9999;;9999;;9999;;;;7;5318,7748979373746;2364,368635945742468790142150589086684119;18625,1400277344001
76;9999;;9999;;9999;;9999;;;;8;8294,4070087023315;1995,467680560365289589430020602953419655;29725,6534062332734
76;9999;;9999;;9999;;9999;;;;9;648,126162559438;1427,744654468270178535980573270220960546;2113,8834325300749
76;9999;;9999;;9999;;9999;;;;10;307,0951385553861;1559,095779418048644073777859542590356225;1534,6660586479852
76;9999;;9999;;9999;;;1;9999;;;112755,2323756141108;1544,068600973247487767429100708189231835;245896,0078315578242
76;9999;;9999;;9999;;;1;;1;;88070,2913805027601;1667,645300006171726452670754206734663881;184398,1264689420878
76;9999;;9999;;9999;;;1;;6;;4928,5547822583509;1318,751505417110030045139254442563530582;11941,1605556713347
76;9999;;9999;;9999;;;1;;11;;19756,3862128529998;1049,395732284107468092090301891033946695;49556,7208069444017
76;9999;;9999;;9999;;;1;;;2;41220,2953857898746;1856,709318728791607917120781695560559104;85152,5362596554267
76;9999;;9999;;9999;;;1;;;3;43495,2744817806775;1493,6689532818195474747240351879158228;91242,8072251369016
76;9999;;9999;;9999;;;1;;;4;3021,357850253065;1602,394275484259646229782358493834196915;7270,570168015378
76;9999;;9999;;9999;;;1;;;5;333,363662679143;1580,716061682696699919946029169394275228;732,2128161343815
76;9999;;9999;;9999;;;1;;;7;1835,9286054898687;1318,124105202537229080196095582312768046;4577,679353958551
76;9999;;9999;;9999;;;1;;;8;2644,1018426543709;1325,385150061260425008916112903843684541;6238,118576225776
76;9999;;9999;;9999;;;1;;;9;388,2696995953505;1312,461664810597240873485023994494749956;987,3118207899701
76;9999;;9999;;9999;;;1;;;10;60,2546345187608;1087,300172010513712981615618853260253331;138,0508046970376
76;9999;;9999;;9999;;;2;9999;;;201576,0425773935202;2079,64000259214809852245478911816023536;685508,4155485902904
76;9999;;9999;;9999;;;2;;1;;172934,0556884269965;2165,460616597635600621009404209049287962;575138,8099439297512
76;9999;;9999;;9999;;;2;;6;;6383,0054193839455;2103,95575942580247635058142119937589872;24206,5995941005764
76;9999;;9999;;9999;;;2;;11;;22258,9814695825782;1405,911311556635022510323846953600069589;86163,0060105599628
76;9999;;9999;;9999;;;2;;;2;75671,5687499990205;2515,439358383234980575865706215631667613;250404,6620755745619
76;9999;;9999;;9999;;;2;;;3;91527,0540371980524;1899,111314598451631800952658668579638026;305502,8280782547638
76;9999;;9999;;9999;;;2;;;4;5113,090095950457;1830,622857217114842682621002782937289424;17179,7524487936828
76;9999;;9999;;9999;;;2;;;5;622,3428052794666;1533,625832547252887587974759611154326827;2051,5673413067427
76;9999;;9999;;9999;;;2;;;7;2422,5657174596088;2424,721620823052644527893218639033696543;9082,0417403446652
76;9999;;9999;;9999;;;2;;;8;3624,8104344335557;1942,559379147781427590654033003132399741;13571,548753773065
